id,賃料,区名,区名地価変換,最寄駅徒歩分数,部屋数,L,D,K,S,LDK,DK,R,築総月数,面積数字,何階建数字,バストイレランク,キッチンランク,BSアンテナ,エレベーター,設備ランク,設備ランクエレベータ込み,設備ランクエレベータBS込み,RC（鉄筋コンクリート）,木造
1,75000,北区,68,4,1,0,0,1,0,0,0,0,117,20.01,12,3,1,1,1,4,5,6,1,0
2,76000,中央区,610,5,1,0,0,0,0,0,0,1,538,16.5,10,1,1,0,1,5,6,6,0,0
3,110000,渋谷区,392,6,1,0,0,1,0,0,0,0,102,22.05,15,5,1,1,1,6,7,8,1,0
4,150000,杉並区,69,3,2,1,1,1,0,1,0,0,352,60.48,4,3,0,0,1,3,4,4,1,0
5,74000,葛飾区,37,5,2,0,1,1,0,0,1,0,379,39.66,2,2,0,0,0,2,2,2,0,1
6,160000,荒川区,66,2,2,1,1,1,0,1,0,0,90,50.8,12,5,2,0,1,5,6,6,1,0
7,78500,練馬区,45,4,1,0,0,1,0,0,0,0,125,23.82,8,6,1,1,1,5,6,7,1,0
8,115000,目黒区,116,7,1,0,0,1,0,0,0,0,172,32.32,6,6,1,1,1,6,7,8,1,0
9,184327,文京区,128,3,2,0,1,1,0,0,1,0,536,65.59,9,3,2,0,0,2,2,2,0,0
10,76000,板橋区,54,4,1,0,1,1,0,0,1,0,465,30.3,3,2,0,0,0,2,2,2,0,0
11,105000,大田区,56,4,1,0,0,1,0,0,0,0,48,25.81,6,6,1,1,1,4,5,6,1,0
12,53000,江戸川区,43,7,1,0,0,1,0,0,0,0,712,23.1,2,0,0,0,0,0,0,0,0,1
13,200000,港区,423,11,1,1,1,1,0,1,0,0,0,37.53,10,5,1,1,1,4,5,6,1,0
14,107000,杉並区,69,4,2,0,1,1,0,0,1,0,490,41.5,3,2,0,0,0,2,2,2,1,0
15,63000,墨田区,60,10,1,0,0,1,0,0,0,0,281,17.73,11,0,0,1,1,5,6,7,0,0
16,92000,渋谷区,392,8,1,0,1,1,0,0,1,0,357,32.84,5,3,2,0,1,3,4,4,1,0
17,87000,板橋区,54,7,1,0,0,1,0,0,0,0,60,25.93,5,5,1,0,1,6,7,7,1,0
18,68000,江戸川区,43,8,1,0,0,1,0,0,0,0,113,25.82,2,4,1,0,0,1,1,1,0,1
20,165000,中央区,610,5,3,0,1,1,0,0,1,0,444,57.71,12,3,1,0,1,4,5,5,0,0
21,130000,中野区,88,11,2,1,1,1,0,1,0,0,343,59.62,2,4,0,0,0,2,2,2,0,1
22,84000,文京区,128,6,1,0,0,1,0,0,0,0,287,21.06,10,1,0,0,1,4,5,5,0,0
24,80000,大田区,56,12,1,0,0,1,0,0,0,0,89,22.98,5,3,1,1,0,6,6,7,0,0
25,45000,江戸川区,43,2,1,0,0,0,0,0,0,1,631,15.48,4,0,-1,0,0,2,2,2,1,0
26,62000,豊島区,169,4,1,0,0,0,0,0,0,1,24,11.7,2,2,-1,0,0,4,4,4,0,1
27,186000,台東区,150,5,1,1,1,1,0,1,0,0,21,41.6,12,5,1,0,1,7,8,8,1,0
28,47000,足立区,41,10,1,0,0,1,0,0,0,0,341,14,2,0,0,0,0,3,3,3,0,1
29,129000,江戸川区,43,5,1,1,1,1,0,1,0,0,100,46.21,10,3,2,0,1,4,5,5,1,0
30,129000,渋谷区,392,8,1,0,0,0,0,0,0,1,198,31.21,10,6,2,0,1,5,6,6,1,0
32,81000,江戸川区,43,11,2,0,1,1,0,0,1,0,372,40.07,2,3,0,0,0,3,3,3,0,0
33,82000,葛飾区,37,12,2,0,1,1,0,0,1,0,370,40,3,2,0,0,0,2,2,2,1,0
35,138000,新宿区,368,2,1,0,0,1,0,0,0,0,2,26.14,10,5,1,0,1,6,7,7,1,0
36,62500,葛飾区,37,8,1,0,0,1,0,0,0,0,179,18.98,2,1,-1,0,0,1,1,1,0,1
37,146000,練馬区,45,10,3,1,1,1,0,1,0,0,260,70.04,3,6,3,1,1,6,7,8,1,0
38,173000,荒川区,66,2,1,1,1,1,1,1,0,0,2,50,15,5,3,0,1,7,8,8,1,0
39,179000,豊島区,169,1,2,1,1,1,0,1,0,0,2,50.8,11,5,1,0,1,3,4,4,1,0
40,70000,葛飾区,37,19,4,0,0,1,0,0,0,0,611,47.09,2,2,0,0,0,3,3,3,0,1
41,121000,文京区,128,10,1,0,0,0,0,0,0,1,153,31.5,7,5,1,0,1,2,3,3,1,0
42,117500,墨田区,60,6,1,0,0,1,0,0,0,0,5,25.75,5,4,1,1,1,5,6,7,1,0
43,101000,大田区,56,12,1,0,0,0,0,0,0,1,135,30.88,4,6,1,1,1,5,6,7,1,0
44,60000,大田区,56,10,1,0,0,0,0,0,0,1,30,14.5,3,2,0,0,0,2,2,2,0,1
45,118000,練馬区,45,9,3,1,1,1,0,1,0,0,318,61,4,5,0,1,0,4,4,5,1,0
46,145000,台東区,150,9,1,1,1,1,0,1,0,0,125,41.31,9,4,1,1,1,7,8,9,1,0
47,96500,墨田区,60,7,1,0,0,1,0,0,0,0,6,29.43,5,2,1,0,1,2,3,3,1,0
49,45000,練馬区,45,3,1,0,0,0,0,0,0,1,377,17.04,2,1,0,0,0,0,0,0,0,1
50,70000,新宿区,368,8,1,0,0,1,0,0,0,0,501,25.05,8,0,0,0,0,0,0,0,1,0
51,52000,世田谷区,71,15,1,0,0,1,0,0,0,0,413,18.63,2,0,-1,0,0,1,1,1,0,0
52,151000,練馬区,45,5,2,1,1,1,0,1,0,0,125,50.51,3,5,1,0,0,4,4,4,1,0
53,86500,台東区,150,12,1,0,0,1,0,0,0,0,64,26,10,2,1,0,1,4,5,5,1,0
55,135000,目黒区,116,9,1,0,1,1,0,0,1,0,617,35.77,6,5,1,1,1,6,7,8,1,0
56,95000,江東区,62,3,1,0,0,1,0,0,0,0,644,32.46,4,4,1,1,0,3,3,4,0,0
57,141000,中央区,610,3,1,0,0,1,0,0,0,0,0,27.13,14,6,1,1,1,7,8,9,1,0
58,127000,中央区,610,1,1,0,0,1,0,0,0,0,48,26.04,15,4,1,1,1,6,7,8,1,0
59,173000,文京区,128,9,2,1,1,1,0,1,0,0,293,53.69,12,3,3,1,1,5,6,7,0,0
60,89500,大田区,56,10,1,0,0,1,0,0,0,0,49,25.52,6,5,1,1,1,6,7,8,1,0
61,119000,世田谷区,71,15,1,0,0,1,0,0,0,0,209,35.49,3,5,1,1,1,4,5,6,1,0
62,101000,品川区,98,10,1,0,0,1,0,0,0,0,178,25.43,5,2,1,0,1,3,4,4,1,0
63,95000,大田区,56,4,1,0,0,1,0,0,0,0,103,23.68,11,4,1,1,1,6,7,8,1,0
64,63000,足立区,41,5,1,0,1,1,0,0,1,0,352,26,3,2,0,0,0,2,2,2,0,0
65,84000,大田区,56,5,1,0,1,1,0,0,1,0,374,35.68,5,4,0,0,0,3,3,3,0,0
66,105000,中野区,88,10,1,0,1,1,0,0,1,0,329,30.85,11,1,1,1,1,5,6,7,0,0
67,125000,荒川区,66,3,2,0,1,1,0,0,1,0,297,40,4,1,1,0,1,2,3,3,0,0
68,90000,北区,68,11,1,0,0,1,0,0,0,0,11,25.21,4,6,1,1,0,7,7,8,1,0
70,68000,豊島区,169,4,1,0,0,0,0,0,0,1,9,10.12,2,1,-1,0,0,1,1,1,0,1
71,111000,中野区,88,10,1,1,1,1,0,1,0,0,0,34.72,3,6,3,0,0,2,2,2,0,0
72,47000,江戸川区,43,18,1,0,0,1,0,0,0,0,310,16.64,2,0,-1,0,0,2,2,2,0,1
73,58000,葛飾区,37,18,1,0,0,1,0,0,0,0,365,22.07,5,0,0,0,1,2,3,3,1,0
74,85000,江東区,62,18,1,1,1,1,0,1,0,0,375,45.45,3,2,0,0,0,4,4,4,0,0
75,31000,文京区,128,7,1,0,0,0,0,0,0,1,745,9.08,2,0,0,0,0,0,0,0,0,1
76,116000,足立区,41,5,3,1,1,1,0,1,0,0,304,66.61,4,4,2,0,0,5,5,5,0,0
77,122000,台東区,150,3,2,0,1,1,0,0,1,0,361,44.49,3,3,1,1,0,3,3,4,0,0
78,72000,板橋区,54,10,1,0,0,0,0,0,0,1,2,16.28,4,4,-1,1,0,1,1,2,0,0
79,102000,中野区,88,3,1,0,0,1,0,0,0,0,0,25.83,4,5,1,0,1,3,4,4,1,0
80,120000,杉並区,69,4,1,0,1,1,0,0,1,0,174,34,5,2,1,0,1,4,5,5,1,0
81,62000,世田谷区,71,13,1,0,0,1,0,0,0,0,393,22.8,3,2,0,0,0,2,2,2,0,0
82,63000,北区,68,8,2,0,0,1,0,0,0,0,475,30,4,0,0,0,0,1,1,1,1,0
